AppID,Name,Release date,Estimated owners,Price,Metacritic score,User score,Positive,Negative,Score rank,Recommendations,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags
Let's Minesweeper,"Jul 24, 2024",20000 - 50000,358,0,0,0,216,47,,242,0,0,神匠游戏,神匠游戏,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Family Sharing",Casual,"Casual,Puzzle,Strategy,Funny,Multiplayer,Indie,Logic,2D,Pixel Graphics,Relaxing,Score Attack,Point & Click,Clicker,Hidden Object,Singleplayer,Co-op,Online Co-Op"
Idling Gears,"Nov 7, 2023",0 - 20000,282,0,0,0,96,38,,132,0,0,guilemus,guilemus,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet",Casual,"Clicker,Idler,Casual,Singleplayer,Economy,Resource Management,2D,Management,Capitalism,Cartoon,Indie,Memes,Touch-Friendly,Comedy,Funny"
MONOPOLY® PLUS,"Sep 7, 2017",500000 - 1000000,236,0,0,0,4995,6623,,9404,368,282,Ubisoft Pune,Ubisoft,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Full controller support,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Casual,"Multiplayer,Board Game,Casual,Tabletop,Family Friendly,Turn-Based,Local Multiplayer,Singleplayer,Strategy,Classic,Capitalism,Violent,Economy,Memes,Local Co-Op,Simulation,Cold War,Open World,Survival,Funny"
The Matriarch,"Sep 26, 2022",20000 - 50000,235,0,0,0,129,40,,162,0,0,Chewa,Chewa,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements",Casual,"Multiplayer,Co-op,Social Deduction,Indie,Casual,Funny,Party Game,Werewolves,Team-Based,2D,Survival,Strategy,Cartoony,Dark Comedy,Stylized,Comedy,Conspiracy,Stealth,Time Management,Satire"
Peggle Deluxe,"Mar 6, 2007",200000 - 500000,188,0,0,0,4381,143,,3686,175,130,"PopCap Games, Inc.","PopCap Games, Inc.,Electronic Arts","Single-player,Remote Play on Phone,Remote Play on Tablet",Casual,"Casual,Puzzle,Arcade,Singleplayer,2D,Addictive,Physics,Family Friendly,Multiplayer,Classic,Funny,Pinball,Local Multiplayer,Strategy,Horror"
Miss Neko 3,"Dec 18, 2022",0 - 20000,181,0,0,0,0,0,,165,0,0,Double W,Toffee Cafe,"Single-player,Steam Achievements,Steam Cloud",Casual,
I got a millenary cat,"Oct 6, 2022",0 - 20000,174,0,0,0,0,0,,131,0,0,CatBellUnion,Mango Party,"Single-player,Steam Achievements,Partial Controller Support",Casual,
The Jackbox Party Pack 5,"Oct 17, 2018",100000 - 200000,149,0,0,0,1930,140,,1577,154,104,"Jackbox Games, Inc.","Jackbox Games, Inc.","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Casual,"Casual,Local Multiplayer,Comedy,Trivia,Funny,Multiplayer,Party Game,Party,Board Game,Strategy,4 Player Local,Co-op,Local Co-Op,Indie"
Fantasy Amusement Park,"Jul 28, 2023",0 - 20000,135,0,0,0,0,0,,0,0,0,cat paw game,cat paw game,Single-player,Casual,
Mudborne: Frog Management Sim,"Mar 20, 2025",0 - 20000,128,0,0,0,402,6,,389,0,0,"ellraiser,TNgineers",Future Friends Games,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Family Sharing",Casual,"Casual,Simulation,Education,Farming Sim,Collectathon,Immersive Sim,2D,Colorful,Cute,Pixel Graphics,Top-Down,Crafting,Fantasy,Management,Nature,Science,Base-Building,Character Customization,Inventory Management,Resource Management"
Mosaique Neko Waifus 5,"Oct 26, 2022",0 - 20000,117,0,0,0,148,5,,127,0,0,Lil Hentai Games,Lil Hentai Games,"Steam Achievements,Steam Cloud",Casual,"Casual,RPG,Interactive Fiction,Dating Sim,Puzzle,Collectathon,2D,Anime,Colorful,Hand-drawn,Cute,LGBTQ+,Romance,Sexual Content,Inventory Management,Resource Management,Hentai,Choices Matter,Singleplayer,Nudity"
Puyo Puyo Champions,"May 6, 2019",50000 - 100000,114,0,0,0,534,129,,570,483,920,Sonic Team,SEGA,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together",Casual,"Puzzle,Competitive,Casual,Multiplayer,Cute,Great Soundtrack,Anime,Arcade,Colorful,Local Multiplayer,4 Player Local,Difficult,e-sports,Fighting,Sexual Content"
Incremental Dice,"Nov 5, 2024",0 - 20000,101,0,0,0,0,0,,0,0,0,guilemus,guilemus,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards,Family Sharing",Casual,"Casual,Clicker,Idler,Singleplayer,2D,Capitalism,Cartoon,Economy,Resource Management"
Headbangers: Rhythm Royale,"Oct 31, 2023",0 - 20000,99,0,0,0,420,107,,437,681,681,Glee-Cheese Studio,Team17,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,Full controller support",Casual,"Casual,Rhythm,Battle Royale,Character Customization,PvP,Funny,3D,Controller,Colorful,Comedy,Quick-Time Events,Multiplayer,Birds,Music,Party Game,Cute,Alternate History,Family Friendly,Minigames,Party"
Long and Hard... Summer!,"Dec 15, 2022",0 - 20000,93,0,0,0,0,0,,0,0,0,Inlet Pipe Productions,Inlet Pipe Productions,"Single-player,Steam Achievements,Partial Controller Support",Casual,
Hot And Lovely ：Dream,"May 24, 2024",0 - 20000,91,0,0,0,0,0,,0,0,0,Lovely Games,Lovely Games,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,
Women's Prison,"Feb 16, 2023",0 - 20000,89,0,0,0,0,0,,0,0,0,"STORIA GAMES CO., LTD,非魚工作室","Mango Party,STORIA GAMES CO., LTD",Single-player,Casual,
Peggle™ Nights,"Oct 15, 2008",100000 - 200000,88,0,76,0,1187,61,,1029,242,275,"PopCap Games, Inc.","PopCap Games, Inc.,Electronic Arts","Single-player,Remote Play on Phone,Remote Play on Tablet",Casual,"Casual,Puzzle,Singleplayer,Addictive,2D"
Proverbs,"Nov 7, 2024",0 - 20000,83,0,0,0,64,0,,0,0,0,Mark Ffrench,Divide The Plunder,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,"Clicker,Casual,Puzzle,Collectathon,2D,Historical,Relaxing,Psychological Horror,Pixel Graphics,Logic,Singleplayer,Psychedelic,Experimental"
MACHI KORO With Everyone,"Jul 4, 2024",0 - 20000,82,0,0,0,35,26,,0,0,0,Grounding Inc.,Grounding Inc.,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",Casual,"Casual,Card Game,Tabletop,Board Game,Family Friendly,Controller,Singleplayer,Multiplayer,4 Player Local,Local Multiplayer,2D,Anime,PvP,Turn-Based Strategy,Turn-Based Tactics,Party Game,PvE"
Chuzzle Deluxe,"Aug 30, 2006",20000 - 50000,79,0,0,0,644,46,,627,3864,3865,"PopCap Games, Inc.","PopCap Games, Inc.,Electronic Arts",Single-player,Casual,"Casual,Puzzle,Match 3,Singleplayer,Cute,Funny"
Living With Sister: Monochrome Fantasy,"Mar 22, 2024",0 - 20000,3082,0,0,0,0,0,,732,0,0,Inusuku,Kagura Games,"Single-player,Steam Cloud,Family Sharing",Indie,
A Dance of Fire and Ice,"Jan 24, 2019",1000000 - 2000000,2600,0,0,0,39971,2671,,39725,800,341,7th Beat Games,"7th Beat Games,indienova","Single-player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet",Indie,"Rhythm,Music,Indie,Difficult,Great Soundtrack,Singleplayer,2D,Level Editor,Action,Psychological Horror,Casual,Souls-like"
DEVOUR,"Jan 28, 2021",1000000 - 2000000,1457,0,0,0,41425,3672,,34613,303,216,Straight Back Games,Straight Back Games,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Indie,"Horror,Online Co-Op,Multiplayer,Survival Horror,Co-op,Dark,Survival,Psychological Horror,First-Person,Indie,Atmospheric,Difficult,Sexual Content,Singleplayer,Puzzle,Stealth,Gore,Action,Violent,FPS"
Beat Saber,"May 21, 2019",2000000 - 5000000,1364,0,93,0,61280,2549,,58334,1923,754,Beat Games,Beat Games,"Single-player,Multi-player,PvP,Online PvP,Steam Leaderboards",Indie,"VR,Rhythm,Music,Great Soundtrack,Moddable,Indie,Fast-Paced,Singleplayer,First-Person,Difficult,Multiplayer,Swordplay,Action,Sports,Futuristic,Casual,Music-Based Procedural Generation,Early Access,Anime,Nudity,VR Only"
Amanda the Adventurer,"Apr 25, 2023",100000 - 200000,1062,0,0,0,447,21,,606,0,0,MANGLEDmaw Games,DreadXP,"Single-player,Steam Achievements",Indie,"Horror,First-Person,Old School,1990's,Atmospheric,Mystery,Story Rich,Adventure,Interactive Fiction,Puzzle,Point & Click,Choose Your Own Adventure,3D,Exploration,Colorful,Stylized,Dark,Psychological,Psychological Horror,Supernatural"
Being a DIK - Season 1,"Feb 13, 2020",0 - 20000,687,0,0,0,0,0,,7498,944,1251,Dr PinkCake,Dr PinkCake,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet",Indie,
Rivals of Aether,"Mar 28, 2017",1000000 - 2000000,507,0,0,0,23699,1177,,21697,840,390,Dan Fornace,Dan Fornace,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Indie,"Fighting,2D Fighter,Pixel Graphics,Multiplayer,Indie,Local Multiplayer,Competitive,Great Soundtrack,2D,Platformer,4 Player Local,Action,Games Workshop,Controller,Arcade,Beat 'em up,Singleplayer,Moddable,Retro,GameMaker"
Super Switch,"Aug 25, 2016",20000 - 50000,374,0,0,0,77,14,,0,476,476,David Mulder,SA Industry,"Single-player,Steam Trading Cards,Partial Controller Support",Indie,"Indie,Platformer,Difficult"
Windowkill,"Feb 23, 2024",20000 - 50000,344,0,0,0,197,3,,308,0,0,torcado,torcado,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play Together",Indie,"Action,Action Roguelike,Bullet Hell,Arcade,Twin Stick Shooter,2D,Minimalist,Gun Customization,Perma Death,Score Attack,Co-op,Local Co-Op,Controller,Local Multiplayer,Multiplayer,Singleplayer,Indie,4 Player Local"
[Chilla's Art] Shinkansen 0 | 新幹線 0号,"Mar 22, 2024",0 - 20000,275,0,0,0,0,0,,155,0,0,Chilla's Art,Chilla's Art,"Single-player,Steam Achievements,Family Sharing",Indie,
Anomalous Coffee Machine,"Mar 28, 2025",0 - 20000,257,0,0,0,0,0,,174,0,0,HoruBrain Interactive,Hexapede Engine,"Single-player,Steam Achievements,Family Sharing",Indie,
Into the Radius VR,"Jul 20, 2020",200000 - 500000,241,0,0,0,4226,361,,4266,357,376,CM Games,CM Games,"Single-player,Steam Achievements,Steam Trading Cards",Indie,"VR,Survival,Atmospheric,Singleplayer,Shooter,Open World,Horror,Post-apocalyptic,Indie,FPS,Realistic,Exploration,First-Person,Survival Horror,Gun Customization,Simulation,Action,Tactical,Physics,Violent,VR Only"
Griftlands,"Jun 1, 2021",200000 - 500000,217,0,84,0,11436,593,,11325,1603,426,Klei Entertainment,Klei Entertainment,"Single-player,Steam Workshop,Partial Controller Support,Steam Cloud,Remote Play on Tablet",Indie,"Card Battler,Rogue-lite,Deckbuilding,RPG,Choices Matter,Turn-Based,Story Rich,Card Game,Strategy,Dark Humor,Rogue-like,Turn-Based Combat,2D,Comic Book,Choose Your Own Adventure,Multiple Endings,Singleplayer,Hand-drawn,Sci-fi,Atmospheric"
Endoparasitic,"Oct 24, 2022",50000 - 100000,211,0,0,0,721,54,,758,166,166,Narayan Walters,Narayan Walters,"Single-player,Steam Achievements,Steam Cloud",Indie,"Survival Horror,Horror,Minimalist,2D,Action,Zombies,Top-Down,Stylized,Stealth,Lovecraftian,Action-Adventure,Space,Dark,Puzzle,Exploration,Top-Down Shooter,Abstract,Noir,Pixel Graphics,Atmospheric"
Where the Heart is:  Season 1,"Nov 19, 2024",0 - 20000,203,0,0,0,0,0,,0,0,0,CheekyGimpGames,CheekyGimpGames,"Single-player,Steam Achievements,Family Sharing",Indie,
McOsu,"Mar 20, 2017",500000 - 1000000,190,0,0,0,4504,494,,0,749,10,McKay,McKay,"Single-player,Steam Workshop",Indie,"Rhythm,Free to Play,Anime,Music,Indie,VR,Difficult,Great Soundtrack,Singleplayer,Psychological Horror,Multiplayer,2D,Hentai"
Baba Is You,"Mar 13, 2019",500000 - 1000000,181,0,87,0,15787,298,,13937,592,297,Hempuli Oy,Hempuli Oy,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Indie,"Puzzle,Indie,Difficult,Singleplayer,Pixel Graphics,Logic,Cute,Programming,2D,Sokoban,Great Soundtrack,Casual,Minimalist,Top-Down,Level Editor,Retro,Atmospheric,Strategy,Funny,Surreal"
Keep Talking and Nobody Explodes,"Oct 8, 2015",1000000 - 2000000,155,0,71,0,10774,234,,9167,216,154,Steel Crate Games,Steel Crate Games,"Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,VR Support,Steam Workshop,Stats,Steam Leaderboards,Remote Play on TV,Remote Play Together",Indie,"Co-op,Puzzle,Local Co-Op,Multiplayer,VR,Indie,Difficult,Local Multiplayer,Team-Based,Family Friendly,Funny,Fast-Paced,First-Person,Simulation,Asymmetric VR,Party Game,Action,Atmospheric,Party,Strategy"
Escape: VR,"Apr 12, 2017",100000 - 200000,146,0,0,0,124,28,,0,259,281,JapanCo,Bitlock Studio,"Single-player,Steam Trading Cards",Indie,"Indie,VR"
I'm on Observation Duty 7,"Oct 22, 2024",20000 - 50000,144,0,0,0,76,3,,0,0,0,"Notovia,Dreamloop Games",Notovia,"Single-player,Steam Achievements,Full controller support,Family Sharing",Indie,"Horror,Psychological Horror,Puzzle,Atmospheric,Hidden Object,Mystery,Psychological,Cinematic,Singleplayer,Investigation,Supernatural,Realistic,Controller,Story Rich,Lovecraftian,Idler,Immersive Sim,Adventure,Logic,3D"
The Bathhouse | 地獄銭湯 Restored Edition,"Aug 9, 2024",0 - 20000,133,0,0,0,0,0,,0,0,0,Chilla's Art,Chilla's Art,"Single-player,Steam Achievements,Family Sharing",Indie,
Hired 2 Die,"Jan 31, 2025",0 - 20000,129,0,0,0,104,13,,0,0,0,Electric Monkeys,Electric Monkeys,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing",Indie,"PvE,Simulation,Time Management,Horror,Online Co-Op,Psychological Horror,Multiplayer,Survival Horror,Co-op,First-Person,Thriller,Dark,Difficult,Atmospheric,Singleplayer,Survival,Puzzle,3D,Action,Mystery"
Spelunky,"Aug 8, 2013",1000000 - 2000000,128,0,90,0,13801,1156,,13128,496,178,Mossmouth,Mossmouth,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Indie,"Action Roguelike,Rogue-like,Platformer,Indie,Difficult,2D,Local Co-Op,Replay Value,Procedural Generation,Addictive,Action,Rogue-lite,Perma Death,Singleplayer,Adventure,Co-op,Local Multiplayer,Controller,Great Soundtrack,Side Scroller"
[Chilla's Art] Night Security | 夜間警備,"Jun 16, 2023",0 - 20000,116,0,0,0,80,10,,116,0,0,Chilla's Art,Chilla's Art,"Single-player,Steam Achievements",Indie,"Horror,Psychological Horror,Immersive,Atmospheric,Adventure,Casual,Immersive Sim,3D,First-Person,Demons,Mystery,Supernatural,1990's,1980s,Realistic,Crime,Dark,Dark Fantasy,Walking Simulator,Detective"
[Chilla's Art] Parasocial | パラソーシャル,"Aug 25, 2023",0 - 20000,112,0,0,0,345,16,,347,0,0,Chilla's Art,Chilla's Art,"Single-player,Steam Achievements",Indie,"Horror,Psychological Horror,Choices Matter,Immersive Sim,Atmospheric,Female Protagonist,Thriller,Anime,Indie,Adventure,3D,Singleplayer,Exploration,Realistic,Multiple Endings,Simulation,Action,Colorful,1990's,Investigation"
Mimic Logic,"Feb 22, 2024",0 - 20000,104,0,0,0,32,0,,0,0,0,Nihohe Soft,Nihohe Soft,"Single-player,Full controller support",Indie,"Puzzle,Rogue-like,Procedural Generation,Fantasy,Retro,Singleplayer,Indie,2D,Pixel Graphics,Logic"
Cybernetic Seduction - Season 1,"May 3, 2024",0 - 20000,103,0,0,0,0,0,,0,0,0,1Thousand,1Thousand,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Indie,
Firework,"Feb 3, 2021",500000 - 1000000,93,0,0,0,26635,518,,24675,233,210,Shiying Studio,Gamera Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet",Indie,"Indie,Horror,Puzzle,Drama,2D,Mystery,Atmospheric,Singleplayer,Psychological Horror,Visual Novel,Thriller,Hand-drawn,Old School,Retro,Supernatural,RPG,Puzzle-Platformer,Conversation,Narration,Text-Based"
holo8,"Feb 12, 2025",0 - 20000,83,0,0,0,61,11,,0,0,0,frog blend,holo Indie,"Single-player,Steam Achievements,Full controller support,Family Sharing",Indie,"Escape Room,Psychological Horror,Walking Simulator,Cute,Horror,Relaxing,Simulation,3D Platformer,Hidden Object,Exploration,3D,Indie,First-Person,Sci-fi,Investigation,Story Rich,Singleplayer"
Summer Crush,"Nov 25, 2022",0 - 20000,79,0,0,0,0,0,,0,0,0,Wet n' Juicy Games,Wet n' Juicy Games,"Single-player,Steam Achievements",Indie,
Stumble Guys,"Oct 7, 2021",2000000 - 5000000,27703,0,0,0,28671,3498,,9419,214,92,Kitka Games,Kitka Games,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,In-App Purchases,Partial Controller Support","Action,Casual,Indie","Action,Casual,Free to Play,Multiplayer,3D,3D Platformer,Cartoony,Colorful,Cute,Family Friendly,Battle Royale,Character Customization,Comedy,Physics,Indie,Massively Multiplayer,PvP,Racing,Hentai,LEGO"
Overcooked! 2,"Aug 7, 2018",2000000 - 5000000,4765,0,81,0,37048,3957,,29302,690,342,"Ghost Town Games Ltd.,Team17",Team17,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Casual,Indie","Multiplayer,Online Co-Op,Local Co-Op,Casual,Co-op,Funny,Indie,Action,4 Player Local,Local Multiplayer,Family Friendly,Cooking,Cute,Controller,Comedy,Singleplayer,Difficult,Simulation,Colorful,Strategy"
Party Animals,"Sep 20, 2023",2000000 - 5000000,2701,0,0,0,24186,9134,,26414,455,329,Recreate Games,Source Technology,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Remote Play Together","Action,Casual,Indie","Casual,Funny,Multiplayer,Cute,Party Game,Action,Fighting,PvP,Co-op,Party,Family Friendly,Online Co-Op,Physics,3D Fighter,4 Player Local,Indie,Local Multiplayer,Team-Based,Local Co-Op,Action-Adventure"
Pummel Party,"Sep 20, 2018",2000000 - 5000000,2544,0,0,0,34324,4108,,30688,989,426,Rebuilt Games,Rebuilt Games,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Casual,Indie","Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Casual,Local Multiplayer,Co-op,Minigames,Party Game,Indie,Local Co-Op,Action,Party,Comedy,Tabletop,Controller,Colorful,Gore,Singleplayer"
Karate Survivor,"Oct 30, 2024",100000 - 200000,2385,10,0,0,419,53,,574,0,0,Alawar,Alawar,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Casual,Indie","Fighting,Casual,Action Roguelike,Martial Arts,Bullet Hell,Combat,Rogue-like,2D,Rogue-lite,Singleplayer,Action,2.5D,Pixel Graphics,1980s,Arcade,Controller,Retro,Top-Down,PvE,Crime"
Rubber Bandits,"Dec 2, 2021",200000 - 500000,2157,0,0,0,769,206,,635,203,243,Flashbulb,Flashbulb,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play Together","Action,Casual,Indie","Party Game,Family Friendly,Multiplayer,Funny,Action,Cute,Casual,Heist,Physics,Beat 'em up,Fighting,Online Co-Op,Party,Cartoony,Colorful,Comedy,Destruction,4 Player Local,PvP,Co-op"
Muse Dash,"Jun 19, 2019",1000000 - 2000000,1452,0,0,0,66332,4419,,64622,2642,185,peropero,hasuhasu,"Single-player,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Casual,Indie","Music,Rhythm,Anime,Cute,Female Protagonist,Sexual Content,Casual,Great Soundtrack,Singleplayer,Indie,2D,Action,Colorful,Difficult,Funny,Arcade,Hentai,Beautiful,Nudity,Mature"
Stick Fight: The Game,"Sep 28, 2017",2000000 - 5000000,739,0,0,0,91539,6124,,78802,439,231,Landfall West,Landfall,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Action,Casual,Indie","Multiplayer,Funny,Fighting,Action,Local Multiplayer,2D Fighter,PvP,4 Player Local,2D,Casual,Physics,Online Co-Op,Indie,Shooter,Local Co-Op,Controller,Co-op,Great Soundtrack,Split Screen,Strategy"
Ultimate Chicken Horse,"Mar 4, 2016",2000000 - 5000000,547,0,0,0,27757,1021,,22437,465,293,Clever Endeavour Games,Clever Endeavour Games,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Casual,Indie","Multiplayer,Funny,Platformer,Local Multiplayer,Level Editor,Precision Platformer,4 Player Local,Casual,Online Co-Op,Competitive,Co-op,Family Friendly,2D,Indie,Parkour,Cartoony,2D Platformer,Action,Cute,Difficult"
PICO PARK,"May 7, 2021",500000 - 1000000,485,0,0,0,13583,1126,,11756,171,153,TECOPARK,TECOPARK,"Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen","Action,Casual,Indie","Multiplayer,Online Co-Op,Puzzle-Platformer,Casual,Cute,Co-op,Local Multiplayer,Action,Platformer,Local Co-Op,2D,Indie,Pixel Graphics,Retro,Funny,Horror,Puzzle,Party Game,Souls-like,Difficult"
Unrailed!,"Sep 23, 2020",500000 - 1000000,390,0,77,0,12513,901,,9048,433,262,Indoor Astronaut,"Daedalic Entertainment,bilibili(China)","Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Action,Casual,Indie","Open World Survival Craft,Multiplayer,Co-op,Casual,Online Co-Op,Local Co-Op,Trains,Action,Local Multiplayer,Procedural Generation,Indie,4 Player Local,Funny,Voxel,Family Friendly,Survival,Isometric,Controller,Cute,Competitive"
Witch It,"Oct 22, 2020",500000 - 1000000,386,0,0,0,12880,1642,,10833,551,184,Barrel Roll Games,Daedalic Entertainment,"Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Stats,Includes level editor","Action,Casual,Indie","Multiplayer,Funny,Casual,Action,Indie,Hidden Object,Online Co-Op,Survival,Stealth,Early Access,Fantasy,Co-op,First-Person,Team-Based,Strategy,Family Friendly,Open World,PvP,Atmospheric,Magic"
HYAKKI YAKO Survivor,"Feb 7, 2025",0 - 20000,320,20,0,0,12,6,,0,0,0,"pixyda,inc.","pixyda,inc.","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing","Action,Casual,Indie","Action,Casual,Action Roguelike,Bullet Hell,2D,Top-Down,Lore-Rich,Swordplay,Ninja,Indie,Historical,Atmospheric,Controller,Singleplayer"
A grande bagunça espacial - The big space mess,"Apr 5, 2016",100000 - 200000,287,0,0,0,687,383,,125,351,296,RMAL,RMAL,"Single-player,Steam Achievements,Steam Trading Cards","Action,Casual,Indie","Action,Indie,Casual,Psychological Horror,Comedy,Memes,Funny,Horror"
Air Threat,"May 8, 2018",200000 - 500000,283,0,0,0,118,38,,0,525,469,SharkGame,Garage Games,"Single-player,Steam Achievements,Steam Trading Cards","Action,Casual,Indie","Action,Indie,Casual"
Bing in Wonderland,"Jan 12, 2023",0 - 20000,269,0,0,0,318,9,,407,31,31,Wanba Studio,Wanba Studio,"Single-player,Steam Achievements,Steam Cloud","Action,Casual,Indie","Hack and Slash,Action Roguelike,Rogue-lite,Action-Adventure,Replay Value,Dungeon Crawler,Action,Adventure,Rogue-like,Funny,Exploration,RPG,Singleplayer,Action RPG,Atmospheric,Comedy,Procedural Generation,2D,Difficult,Perma Death"
Who's Your Daddy?!,"May 13, 2016",2000000 - 5000000,234,0,0,0,18779,5096,,19251,236,95,Evil Tortilla Games,Evil Tortilla Games,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Remote Play Together","Action,Casual,Indie","Funny,Multiplayer,First-Person,Comedy,Simulation,Strategy,Online Co-Op,Dark Humor,Casual,Co-op,Indie,Action,Early Access,Split Screen,Difficult,Survival,Sandbox,Third Person,Adventure,Singleplayer"
Slash It Ultimate,"Jul 14, 2017",100000 - 200000,136,0,0,0,366,149,,392,228,303,EGAMER,EGAMER,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards","Action,Casual,Indie","Casual,Action,Indie,Rhythm,Music,Typing"
Goonya Monster,"Dec 4, 2022",0 - 20000,129,0,0,0,0,0,,0,0,0,MUTAN,MUTAN,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud","Action,Casual,Indie",
I wanna be the Creator,"Nov 15, 2019",50000 - 100000,127,0,0,0,1885,65,,1838,658,1030,Aikesi,HeyBox Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Includes level editor,Remote Play Together","Action,Casual,Indie","Indie,Action,Casual,Difficult,2D,Pixel Graphics,Level Editor,Psychological Horror"
